# experiment P-13 (R-006)
# hypothesis: M-66's non-convergent angle is bounded below by the dihedral angle of the feature, so it is a property of sharp edges rather than of resolution and is predictable from the field.
# falsified by: The angle failing to track the dihedral prediction, which makes it a defect with a location rather than a property.
# commit ddee724 (WORKING TREE DIRTY) on amd-ryzen-9-5900x-12-core at 2026-08-16T06:27:38Z
dihedral_deg,samples,measured_angle_deg,predicted_angle_deg,apex,cell_size,extractor,inverted_offsurface_cells,inverted_vertices,mean_angle_deg,median_angle_deg,p99_angle_deg,rotation_deg,triangles,vertices_counted
90.0,33,45.0000,45.0000,aligned,1.25000000000000000e-1,marching_cubes,0.0000,0,2.2131,0.0000,45.0000,0,4096,1891
90.0,33,26.5628,45.0000,aligned,1.25000000000000000e-1,dual_contouring,0.0000,0,0.4551,0.0000,26.5628,0,3906,1800
90.0,65,45.0000,45.0000,aligned,6.25000000000000000e-2,marching_cubes,0.0000,0,2.5200,0.0000,45.0000,0,16384,7875
90.0,65,45.0000,45.0000,aligned,6.25000000000000000e-2,dual_contouring,0.0000,0,0.9506,0.0000,45.0000,0,16002,7688
90.0,129,90.0000,45.0000,aligned,3.12500000000000000e-2,marching_cubes,0.0000,0,3.0237,0.0000,45.0000,0,65536,32131
90.0,129,90.0000,45.0000,aligned,3.12500000000000000e-2,dual_contouring,0.0000,0,1.9007,0.0000,45.0000,0,64770,31752
90.0,17,63.4349,45.0000,offset,2.50000000000000000e-1,marching_cubes,0.0000,0,8.1865,0.0000,63.4349,0,1024,435
90.0,17,46.6520,45.0000,offset,2.50000000000000000e-1,dual_contouring,0.0000,0,5.1937,0.0000,46.6520,0,930,392
90.0,33,45.0000,45.0000,offset,1.25000000000000000e-1,marching_cubes,0.0000,0,2.8520,0.0000,45.0000,0,4096,1891
90.0,33,71.5651,45.0000,offset,1.25000000000000000e-1,dual_contouring,0.0000,0,3.4568,0.0000,71.5651,0,3906,1800
90.0,65,90.0000,45.0000,offset,6.25000000000000000e-2,marching_cubes,0.0000,0,3.4297,0.0000,45.0000,0,16384,7875
90.0,65,90.0000,45.0000,offset,6.25000000000000000e-2,dual_contouring,0.0000,0,2.9256,0.0000,90.0000,0,16002,7688
90.0,129,90.0000,45.0000,offset,3.12500000000000000e-2,marching_cubes,0.0000,127,3.0320,0.0000,90.0000,0,65536,32131
90.0,129,90.0000,45.0000,offset,3.12500000000000000e-2,dual_contouring,0.0000,0,2.8724,0.0000,90.0000,0,64770,31752
90.0,17,45.0000,45.0000,aligned,2.50000000000000000e-1,marching_cubes,0.0000,0,10.0000,0.0000,45.0000,17,960,405
